ds,y,rain
2023-01-01,93.03201832977109,0
2023-01-02,76.69344855626122,1
2023-01-03,44.337593993689794,1
2023-01-04,127.3852663219171,0
2023-01-05,107.75151416979092,0
2023-01-06,109.31456171284233,0
2023-01-07,81.17776189544563,0
2023-01-08,68.95642412106088,1
2023-01-09,95.57895972362675,0
2023-01-10,48.55335207274535,1
2023-01-11,142.28911816270744,0
2023-01-12,63.684484659796176,1
2023-01-13,35.92002717305925,1
2023-01-14,89.68324793400923,0
2023-01-15,90.35409743285057,0
2023-01-16,122.56011388274622,0
2023-01-17,139.86904575492485,0
2023-01-18,132.4092687949537,0
2023-01-19,107.50927892900987,0
2023-01-20,108.3548708498641,0
2023-01-21,96.32936715086058,0
2023-01-22,106.86586908317135,0
2023-01-23,101.46150011127467,0
2023-01-24,124.82636115953335,0
2023-01-25,142.94270929992427,0
2023-01-26,103.79550592158654,1
2023-01-27,122.81967942487145,0
2023-01-28,99.33740308772731,0
2023-01-29,95.250076633652,0
2023-01-30,124.84317762471493,0
2023-01-31,118.63549044661755,0
2023-02-01,127.19258021815533,0
2023-02-02,151.84796125923015,0
2023-02-03,78.44644975858674,1
2023-02-04,56.94712768507806,1
2023-02-05,79.01897937097766,1
2023-02-06,142.07793191588186,0
2023-02-07,132.2898655298147,0
2023-02-08,136.95432101217514,0
2023-02-09,124.79342296227607,0
2023-02-10,130.7184188842232,0
2023-02-11,120.5702803725981,0
2023-02-12,131.1386533925285,0
2023-02-13,101.63103822334665,1
2023-02-14,118.16450552975621,0
2023-02-15,151.22710528750653,0
2023-02-16,120.81258475153645,0
2023-02-17,112.12947644638074,0
2023-02-18,112.04485990672654,0
2023-02-19,126.3583543473681,0
2023-02-20,76.56910973824513,1
2023-02-21,71.16101162956085,1
2023-02-22,113.05817824465412,1
2023-02-23,139.63235515117242,1
2023-02-24,120.02306396678999,0
2023-02-25,73.38371645503229,1
2023-02-26,143.70217629636716,0
2023-02-27,141.88089063304338,0
2023-02-28,152.32926342938256,0
2023-03-01,159.97541875243456,0
2023-03-02,146.6742024950356,0
2023-03-03,108.85892433318719,0
2023-03-04,55.394940372600466,1
2023-03-05,148.05536941259078,0
2023-03-06,138.51429965581588,0
2023-03-07,153.25258526117625,0
2023-03-08,154.6100788187643,0
2023-03-09,117.2009946198778,1
2023-03-10,166.54401074423774,0
2023-03-11,85.82790342218873,1
2023-03-12,73.32679079006839,1
2023-03-13,136.09290615170138,0
2023-03-14,170.09628584492418,0
2023-03-15,109.44359402019866,1
2023-03-16,120.43225193534407,1
2023-03-17,55.757435340362264,1
2023-03-18,76.56612474432252,1
2023-03-19,133.5564294135015,0
2023-03-20,159.07226495065473,0
2023-03-21,143.6206283100922,0
2023-03-22,97.45020159132923,1
2023-03-23,145.48302099175237,0
